Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8774369604576107,0.0,0.0,0.0,0.8225164508895874
Random Forest,0.8695127391041957,0.37541254125412543,0.0974095482766003,0.15468298487166413,0.8395635075657704
XGBoost,0.8764529925743224,0.4369747899159664,0.027831299507600087,0.05232967696487874,0.8556417585114914
